Name Kernel VM "Code Cache" "Analysis Callout" "Client Code + Inlined Analysis"
"Ring Buffer" 0.1 0.601698841 0 0 10.41842645
"EA Categ" 0.1 0.4	3.9	6.39 0
"Ring + EA" 0.1	0.49 7.25 6.74 0
"Shadow Mem" 0.1	0.380101926	7.947022341	12.22316901	0
"" 0 0 0 0 0					
"Ring Buffer" 0.1 0.166111699 5.71986094 6.328122897 0
"EA Categ" 0.1 0.155716695	4.161361504	5.236093297	0
"Ring + EA" 0.1 0.162874863	3.790912435	9.619117948	0
"Shadow Mem" 0.1 0.166375129	4.874619765	12.11108028	0
"" 0 0 0 0 0					
"Ring Buffer" 0.1 0.206170924	0	0	11.05999979
"EA Categ" 0.1 0.339840219	0	0	13.58803762
"Ring + EA" 0.1 0.434031637	0	0	17.65061989
"Shadow Mem" 0.1 0.622237071	0	0	20.54228916

